time,y,band,x,spatial_ref,Corn3_prepped_inputs_mod21a1d_catd
2022-07-16,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-16,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-17,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-17,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-17,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-18,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-18,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-18,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-19,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-19,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-19,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-20,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-20,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-20,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-21,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-21,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-21,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-22,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-22,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-22,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-23,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-23,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-23,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-24,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-24,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-24,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-25,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-25,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-25,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-26,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-26,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-26,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-27,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-27,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-27,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-28,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-28,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-28,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-29,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-29,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-29,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-30,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-30,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-30,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-07-31,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-07-31,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-07-31,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-01,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-01,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-01,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-02,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-02,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-02,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-03,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-03,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-03,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-04,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-04,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-04,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-05,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-05,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-05,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-06,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-06,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-06,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-07,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-07,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-07,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-08,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-08,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-08,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-09,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-09,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-09,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-10,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-10,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-10,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-11,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-11,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-11,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-12,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-12,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-12,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-13,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-13,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-13,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-14,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-14,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-14,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-15,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-15,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-15,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-16,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-16,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-16,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-17,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-17,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-17,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-18,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-18,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-18,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-19,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-19,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-19,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-20,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-20,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-20,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-21,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-21,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-21,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-22,4218331.140033628,1.0,629271.6446770779,0.0,7.000003662109407
2022-08-22,4219257.765466684,1.0,629271.6446770779,0.0,6.619998779296907
2022-08-22,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-23,4219257.765466684,1.0,629271.6446770779,0.0,9.209980468750018
2022-08-23,4218331.140033628,1.0,629271.6446770779,0.0,8.589985351562518
2022-08-23,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-24,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-24,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-24,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-25,4219257.765466684,1.0,629271.6446770779,0.0,10.8099938964844
2022-08-25,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-25,4218331.140033628,1.0,629271.6446770779,0.0,10.6699792480469
2022-08-26,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-26,4218331.140033628,1.0,629271.6446770779,0.0,10.969984130859416
2022-08-26,4219257.765466684,1.0,629271.6446770779,0.0,10.969984130859416
2022-08-27,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-27,4219257.765466684,1.0,629271.6446770779,0.0,9.459998779296882
2022-08-27,4218331.140033628,1.0,629271.6446770779,0.0,10.359992675781257
2022-08-28,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-28,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-28,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-29,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-08-29,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-29,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-08-30,4218331.140033628,1.0,629271.6446770779,0.0,10.069980468750032
2022-08-30,4219257.765466684,1.0,629271.6446770779,0.0,10.250003662109407
2022-08-30,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-31,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-08-31,4219257.765466684,1.0,629271.6446770779,0.0,4.809996337890652
2022-08-31,4218331.140033628,1.0,629271.6446770779,0.0,4.809996337890652
2022-09-01,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-01,4218331.140033628,1.0,629271.6446770779,0.0,7.920000000000016
2022-09-01,4219257.765466684,1.0,629271.6446770779,0.0,7.439989013671891
2022-09-02,4218331.140033628,1.0,629271.6446770779,0.0,7.5599926757812455
2022-09-02,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-02,4219257.765466684,1.0,629271.6446770779,0.0,6.9199780273437455
2022-09-03,4219257.765466684,1.0,629271.6446770779,0.0,9.57998168945312
2022-09-03,4218331.140033628,1.0,629271.6446770779,0.0,9.71999633789062
2022-09-03,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-04,4218331.140033628,1.0,629271.6446770779,0.0,10.629990234375043
2022-09-04,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-04,4219257.765466684,1.0,629271.6446770779,0.0,8.349991455078168
2022-09-05,4218331.140033628,1.0,629271.6446770779,0.0,2.3199816894531295
2022-09-05,4219257.765466684,1.0,629271.6446770779,0.0,7.6200000000000045
2022-09-05,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-06,4219257.765466684,1.0,629271.6446770779,0.0,14.919996337890666
2022-09-06,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-06,4218331.140033628,1.0,629271.6446770779,0.0,12.039991455078166
2022-09-07,4218331.140033628,1.0,629271.6446770779,0.0,7.1299975585938
2022-09-07,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-07,4219257.765466684,1.0,629271.6446770779,0.0,7.1299975585938
2022-09-08,4218331.140033628,1.0,629271.6446770779,0.0,15.819982910156284
2022-09-08,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-08,4219257.765466684,1.0,629271.6446770779,0.0,16.41998901367191
2022-09-09,4218331.140033628,1.0,629271.6446770779,0.0,3.6499816894531705
2022-09-09,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-09,4219257.765466684,1.0,629271.6446770779,0.0,1.6100036621094205
2022-09-10,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-09-10,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-10,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-11,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-11,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-11,4218331.140033628,1.0,629271.6446770779,0.0,NA
2022-09-12,4218519.856725971,1.0,629271.6446770779,0.0,NA
2022-09-12,4219257.765466684,1.0,629271.6446770779,0.0,NA
2022-09-12,4218331.140033628,1.0,629271.6446770779,0.0,NA
