time,time,x,y,s2_mean_ndvi
2022-09-06 00:00:00+00:00,2022-09-06 00:00:00+00:00,629240.0,4218820.0,0.53564495
2022-09-07 00:00:00+00:00,2022-09-07 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-08 00:00:00+00:00,2022-09-08 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-09 00:00:00+00:00,2022-09-09 00:00:00+00:00,629240.0,4218820.0,0.47811976
2022-09-10 00:00:00+00:00,2022-09-10 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-11 00:00:00+00:00,2022-09-11 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-12 00:00:00+00:00,2022-09-12 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-13 00:00:00+00:00,2022-09-13 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-14 00:00:00+00:00,2022-09-14 00:00:00+00:00,629240.0,4218820.0,0.34430078
2022-09-15 00:00:00+00:00,2022-09-15 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-16 00:00:00+00:00,2022-09-16 00:00:00+00:00,629240.0,4218820.0,0.2535749
2022-09-17 00:00:00+00:00,2022-09-17 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-18 00:00:00+00:00,2022-09-18 00:00:00+00:00,629240.0,4218820.0,NA
2022-09-19 00:00:00+00:00,2022-09-19 00:00:00+00:00,629240.0,4218820.0,0.20612377
